Disease,Description

common cold,A mild viral infection affecting the nose and throat causing sneezing and runny nose
flu,A viral infection that affects the respiratory system causing fever and body pain
fever,A temporary increase in body temperature due to infection or illness
cough,A reflex action to clear the airway of mucus or irritants
sore throat,Pain or irritation in the throat often due to infection
headache,Pain in the head caused by stress illness or dehydration
vomiting,Forceful expulsion of stomach contents due to illness or infection
diarrhea,Frequent loose or watery stools often due to infection
acidity,Condition caused by excess stomach acid leading to heartburn
indigestion,Difficulty in digesting food causing discomfort and bloating
constipation,Difficulty in passing stools often due to low fiber intake
allergy,Immune system reaction to foreign substances like dust or pollen
skin rash,Inflammation or irritation of the skin causing redness and itching
ear infection,Infection in the ear caused by bacteria or virus
eye infection,Infection in the eye causing redness irritation and discharge
toothache,Pain in or around a tooth due to decay or infection
muscle pain,Pain in muscles due to strain overuse or injury
back pain,Pain in the back caused by posture or muscle strain
dehydration,Lack of sufficient water in the body causing weakness and dizziness
heat exhaustion,Condition caused by excessive heat exposure leading to sweating and fatigue